Serial,ProductName,Timestamp,branch,delayEstBranchDelay,delayEstFrac,delayEstFracCorr,delayEstFracDeltaInt,delayEstFracStep,delayEstInt,delayEstIntCorr,delayEstTrainingSigEnable,delayEstimationEnable,dohGain,dpGainCtrlType,dpGainLoopEnable,dpTsEnable,dpd,dpdAutoStart,dpdNomPwr,dpdRestartCounter,gainAutoStart,gainStateMachine,ganBoostModeEnable,ganBoostModeState,islastDelEstFracSuccess,linearizationStateMachine,powerBackoff,powerClass,powerLevel,rfPower,runMode,shpAlgRestartCounter,shpAutoStart,shpGanAlgEnabled,shpGanAlgHwCapablility,status,statusBit,torGainBackoff,torIqCompEnable,torSupported,torTemp,trxCtrlVer,txAtt,txAttPeak,txDpdGainDefault,txDpdPma,txPma,txPmb,txTorPmb,dir,boardName,log_type,nodeName,elog_time_e10,elog_id,abn,subId,recoveryAction,desc,torStepBit,tsaDpGainCtrlDeviceType,DpaVddSv,IDpaSv.0,IDpaSv.1,IMpaSv.0,IMpaSv.1,PaVddSv,elog_time_e27,time_diff,LinAlarm,PA Status Pattern 2,Symptoms
CN39290510,Radio 2271 B1,,0,0,0,0,0,0,0,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-850,0,TRUE,CtrlGainStateRamping=paused,FALSE,NORMAL,FALSE,ns=stopped,0,40,47.23,0,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,,0,FALSE,TRUE,358,16.1.1,1987,0,40,-1000,-1000,-1000,-1000,VIL_0807,BXP_7,elog,LMMEDA001,6/26/2025 13:06,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,29957,153,105,575,29,47902,6/26/2025 13:06,0 days 00:00:00,0,Normal,
CN39290510,Radio 2271 B1,,0,0,0,0,0,0,0,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-850,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,FALSE,ns=stopped,0,40,47.23,0,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,TOR_ADC_ERR,0,FALSE,TRUE,359,16.1.1,1987,0,40,-1000,-1000,-1000,-2.8936,VIL_0807,BXP_7,elog,LMMEDA001,7/15/2025 6:53,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,29945,152,104,596,13,47886,7/15/2025 6:53,0 days 00:00:00,0,Normal,Tx gain high
CN39290510,Radio 2271 B1,,0,0,0,0,0,0,0,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-850,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,FALSE,ns=stopped,0,40,47.23,51.9501,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,TOR_ADC_ERR,-120,FALSE,TRUE,366,16.1.1,1987,0,40,-25.4664,-21.491,-19.9836,-2.5799,VIL_0807,BXP_7,elog,LMMEDA001,7/15/2025 6:53,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,29988,152,103,614,16,47851,7/15/2025 6:53,0 days 00:00:00,0,Normal,Tx gain high
CN39290510,Radio 2271 B1,,1,0,0,0,0,0,0,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-850,0,TRUE,CtrlGainStateRamping=paused,FALSE,NORMAL,FALSE,ns=stopped,0,40,47.23,0,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,TOR_ADC_ERR,0,FALSE,TRUE,366,16.1.1,1989,0,40,-1000,-1000,-1000,-2.9146,VIL_0807,BXP_7,elog,LMMEDA001,7/15/2025 6:53,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,29957,153,104,584,9,47851,7/15/2025 6:53,0 days 00:00:01,0,Normal,Tx gain high
CN39290510,Radio 2271 B1,,0,0,0,0,0,0,0,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-850,0,TRUE,CtrlGainStateRamping=paused,FALSE,NORMAL,FALSE,ns=stopped,0,40,47.23,0,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,,0,FALSE,TRUE,363,16.1.1,1987,0,40,-1000,-1000,-1000,-1000,VIL_0807,BXP_7,elog,LMMEDA001,7/15/2025 6:54,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,29957,152,104,617,13,47851,7/15/2025 6:54,0 days 00:00:00,0,Normal,
CN39290510,Radio 2271 B1,,0,0,0,0,0,0,0,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-850,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,FALSE,ns=stopped,0,40,47.23,0,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,,0,FALSE,TRUE,361,16.1.1,1987,0,40,-1000,-1000,-1000,-1000,VIL_0807,BXP_7,elog,LMMEDA001,7/15/2025 6:55,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,29988,152,104,620,14,47937,7/15/2025 6:55,0 days 00:00:00,0,Normal,
CN39441691,Radio 2271 B3,,1,0,42,8187,-1,54,624,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-950,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,TRUE,ns=stopped,0,80,48.99,0,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,EXT_DPD_IDLE,0,FALSE,TRUE,436,16.1.1,1999,0,40,-1000,-1000,-1000,-61.9855,VIL_0714,BXP_4,elog,LI01INAS003252,5/10/2025 14:50,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,27914,122,97,444,3,50027,5/10/2025 14:50,0 days 00:00:01,0,Normal,DPD idle
CN39441691,Radio 2271 B3,,0,0,31,8183,-1,65,624,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-950,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,TRUE,ns=stopped,0,80,48.99,36.7911,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,EXT_DPD_IDLE,0,FALSE,TRUE,436,16.1.1,1996,0,40,-19.3754,-15.381,-15.3816,-21.6989,VIL_0714,BXP_4,elog,LI01INAS003252,5/10/2025 14:50,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,27875,124,97,338,2,50078,5/10/2025 14:50,0 days 00:00:01,0,Normal,DPD idle
CN39441691,Radio 2271 B3,,0,0,31,8183,-1,65,624,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-950,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,TRUE,ns=stopped,0,80,48.99,35.6305,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,EXT_DPD_IDLE,-120,FALSE,TRUE,435,16.1.1,1996,0,40,-19.3754,-15.381,-15.2937,-21.6595,VIL_0714,BXP_4,elog,LI01INAS003252,5/10/2025 14:50,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,27863,124,97,356,2,50007,5/10/2025 14:50,0 days 00:00:00,0,Normal,DPD idle
CN39441691,Radio 2271 B3,,1,0,42,8187,-1,54,624,0,TRUE,FALSE,0,DEV_AD_PALAU903,TRUE,TRUE,off,TRUE,-950,0,TRUE,CtrlGainStateRamping=starting,FALSE,NORMAL,TRUE,ns=stopped,0,80,48.99,28.7159,BF,0,TRUE,FALSE,FALSE,DPD_STATUS_OK,EXT_DPD_IDLE,-120,FALSE,TRUE,435,16.1.1,1999,0,40,-31.9727,-28.1853,-23.0995,-28.5742,VIL_0714,BXP_4,elog,LI01INAS003252,5/10/2025 14:50,10,raiseFaultAndRollback,lin-ramping,no-suggested-action,ramping timeout.,,,27875,124,98,417,2,50007,5/10/2025 14:50,0 days 00:00:02,0,Normal,DPD idle
